"","predicted.Sub_cell_type","predicted.Sub_cell_type_organ","predicted.Main_cell_type.score","predicted.Sub_cell_type.score","predicted.Sub_cell_type_organ.score","mapping.score","Azimuth.Pansci.Class","Azimuth.Pansci.Subclass","Azimuth.Cortex.Class","Azimuth.Cortex.Subclass","RNA.class_label","RNA.class_name","RNA.class_bootstrapping_probability","RNA.subclass_label","RNA.subclass_name","RNA.subclass_bootstrapping_probability","RNA.supertype_label","RNA.supertype_name","RNA.supertype_bootstrapping_probability","RNA.cluster_label","RNA.cluster_name","RNA.cluster_alias","RNA.cluster_bootstrapping_probability","mCG.class_label","mCG.class_name","mCG.class_bootstrapping_probability","mCG.subclass_label","mCG.subclass_name","mCG.subclass_bootstrapping_probability","mCG.supertype_label","mCG.supertype_name","mCG.supertype_bootstrapping_probability","mCG.cluster_label","mCG.cluster_name","mCG.cluster_alias","mCG.cluster_bootstrapping_probability","Brainmap.RNA.Class","Brainmap.RNA.Subclass","Brainmap.mCG.Class","Brainmap.mCG.Subclass","seurat_clusters","cell_type"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_G2","Interbrain and midbrain neurons 2_19","Interbrain and midbrain neurons 2_19_Brain",0.578050843485308,0.368879642273561,0.368879642273561,0.939115577544766,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",0.8,"CS20230722_SUBC_023","023 SUB-ProS Glut",0.91,"CS20230722_SUPT_0097","0097 SUB-ProS Glut_2",1,"CS20230722_CLUS_0389","0389 SUB-ProS Glut_2",335,1,"CS20230722_CLAS_14","14 HY Glut",0.37,"CS20230722_SUBC_126","126 ARH-PVp Tbx3 Glut",0.89,"CS20230722_SUPT_0554","0554 ARH-PVp Tbx3 Glut_1",0.71,"CS20230722_CLUS_2276","2276 ARH-PVp Tbx3 Glut_1",1974,0.71,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_G3","Cortical projection neurons 1_8","Cortical projection neurons 1_8_Brain",0.65348884708711,0.500808791013974,0.500808791013974,0.570588252764024,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_24","24 MY Glut",0.57,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",1,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,"CS20230722_CLAS_24","24 MY Glut",1,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1027","1027 HB Calcb Chol_3",1,"CS20230722_CLUS_4603","4603 HB Calcb Chol_3",8956,1,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_G4","Cortical projection neurons 1_21","Cortical projection neurons 1_21_Brain",0.830764732765284,0.232351245281606,0.232351245281606,0.826554284327248,"Cortical projection neurons 1","Cortical projection neurons 1_21","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",0.98,"CS20230722_SUBC_020","020 L2/3 IT RSP Glut",1,"CS20230722_SUPT_0088","0088 L2/3 IT RSP Glut_2",1,"CS20230722_CLUS_0345","0345 L2/3 IT RSP Glut_2",316,1,"CS20230722_CLAS_22","22 MB-HB Sero",0.67,"CS20230722_SUBC_216","216 MB-MY Tph2 Glut-Sero",1,"CS20230722_SUPT_0889","0889 MB-MY Tph2 Glut-Sero_2",0.81,"CS20230722_CLUS_3894","3894 MB-MY Tph2 Glut-Sero_2",2861,0.81,"01 IT-ET Glut","019 L2/3 IT PPP Glut","24 MY Glut","261 HB Calcb Chol","6","L5 ET"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_G5","Dentate gyrus neurons_6","Dentate gyrus neurons_6_Brain",0.842004548115967,0.39796184276646,0.39796184276646,0.952192896134466,"Dentate gyrus neurons","Dentate gyrus neurons_8","Glutamatergic","Meis2","CS20230722_CLAS_04","04 DG-IMN Glut",0.99,"CS20230722_SUBC_037","037 DG Glut",1,"CS20230722_SUPT_0136","0136 DG Glut_1",1,"CS20230722_CLUS_0502","0502 DG Glut_1",1398,1,"CS20230722_CLAS_13","13 CNU-HYa Glut",0.9,"CS20230722_SUBC_117","117 LHA Barhl2 Glut",0.56,"CS20230722_SUPT_0524","0524 LHA Barhl2 Glut_1",0.86,"CS20230722_CLUS_2099","2099 LHA Barhl2 Glut_1",2115,0.86,"04 DG-IMN Glut","038 DG-PIR Ex IMN","24 MY Glut","261 HB Calcb Chol","12","Meis2"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_G6","Interbrain and midbrain neurons 2_19","Interbrain and midbrain neurons 2_19_Brain",0.686399171716118,0.196712135261174,0.196712135261174,0.938986081714861,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_019","019 L2/3 IT PPP Glut",1,"CS20230722_SUPT_0084","0084 L2/3 IT PPP Glut_1",1,"CS20230722_CLUS_0332","0332 L2/3 IT PPP Glut_1",307,1,"CS20230722_CLAS_20","20 MB GABA",0.67,"CS20230722_SUBC_206","206 SCm-PAG Cdh23 Gaba",0.62,"CS20230722_SUPT_0850","0850 SCm-PAG Cdh23 Gaba_3",1,"CS20230722_CLUS_3719","3719 SCm-PAG Cdh23 Gaba_3",3543,1,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_G7","Dentate gyrus neurons_6","Dentate gyrus neurons_6_Brain",0.80450615186329,0.411306473317128,0.411306473317128,0.956200114176492,"Dentate gyrus neurons","Dentate gyrus neurons_8","Glutamatergic","Meis2","CS20230722_CLAS_04","04 DG-IMN Glut",1,"CS20230722_SUBC_037","037 DG Glut",1,"CS20230722_SUPT_0139","0139 DG Glut_4",1,"CS20230722_CLUS_0510","0510 DG Glut_4",1407,1,"CS20230722_CLAS_24","24 MY Glut",0.74,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1029","1029 HB Calcb Chol_5",0.99,"CS20230722_CLUS_4605","4605 HB Calcb Chol_5",8958,0.99,"04 DG-IMN Glut","038 DG-PIR Ex IMN","24 MY Glut","261 HB Calcb Chol","12","Meis2"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_G8","Cortical projection neurons 1_15","Cortical projection neurons 1_15_Brain",0.500069232177272,0.316227106615583,0.316227106615583,0.907042972390655,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_023","023 SUB-ProS Glut",1,"CS20230722_SUPT_0097","0097 SUB-ProS Glut_2",1,"CS20230722_CLUS_0389","0389 SUB-ProS Glut_2",335,1,"CS20230722_CLAS_23","23 P Glut",0.72,"CS20230722_SUBC_226","226 PRNc-PARN Tlx1 Glut",0.61,"CS20230722_SUPT_0935","0935 PRNc-PARN Tlx1 Glut_1",0.53,"CS20230722_CLUS_4137","4137 PRNc-PARN Tlx1 Glut_1",24554,0.53,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_G9","Dentate gyrus neurons_6","Dentate gyrus neurons_6_Brain",0.735885678549723,0.273085834001475,0.273085834001475,0.919782902104313,"Dentate gyrus neurons","Dentate gyrus neurons_8","Glutamatergic","Meis2","CS20230722_CLAS_04","04 DG-IMN Glut",0.99,"CS20230722_SUBC_037","037 DG Glut",0.84,"CS20230722_SUPT_0137","0137 DG Glut_2",1,"CS20230722_CLUS_0506","0506 DG Glut_2",1404,1,"CS20230722_CLAS_14","14 HY Glut",0.87,"CS20230722_SUBC_131","131 LHA-AHN-PVH Otp Trh Glut",0.58,"CS20230722_SUPT_0575","0575 LHA-AHN-PVH Otp Trh Glut_2",1,"CS20230722_CLUS_2330","2330 LHA-AHN-PVH Otp Trh Glut_2",2490,1,"04 DG-IMN Glut","038 DG-PIR Ex IMN","24 MY Glut","261 HB Calcb Chol","12","Meis2"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_G10","Cortical projection neurons 1_21","Cortical projection neurons 1_21_Brain",0.916594824849837,0.549699173928625,0.549699173928625,0.945110489643874,"Cortical projection neurons 1","Cortical projection neurons 1_21","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",0.98,"CS20230722_SUBC_019","019 L2/3 IT PPP Glut",1,"CS20230722_SUPT_0085","0085 L2/3 IT PPP Glut_2",1,"CS20230722_CLUS_0336","0336 L2/3 IT PPP Glut_2",313,1,"CS20230722_CLAS_17","17 MH-LH Glut",0.73,"CS20230722_SUBC_145","145 MH Tac2 Glut",0.92,"CS20230722_SUPT_0632","0632 MH Tac2 Glut_1",0.96,"CS20230722_CLUS_2579","2579 MH Tac2 Glut_1",2893,0.96,"01 IT-ET Glut","019 L2/3 IT PPP Glut","24 MY Glut","261 HB Calcb Chol","6","L5 ET"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_G11","Cortical projection neurons 2_10","Cortical projection neurons 2_10_Brain",0.886118320806242,0.583912327564331,0.583912327564331,0.954460372460837,"Cortical projection neurons 2","Cortical projection neurons 1_3","Glutamatergic","L6 CT","CS20230722_CLAS_02","02 NP-CT-L6b Glut",1,"CS20230722_SUBC_033","033 NP SUB Glut",1,"CS20230722_SUPT_0127","0127 NP SUB Glut_1",1,"CS20230722_CLUS_0478","0478 NP SUB Glut_1",92,1,"CS20230722_CLAS_23","23 P Glut",0.4,"CS20230722_SUBC_222","222 PB Evx2 Glut",0.5,"CS20230722_SUPT_0921","0921 PB Evx2 Glut_8",0.73,"CS20230722_CLUS_4076","4076 PB Evx2 Glut_8",4284,0.73,"02 NP-CT-L6b Glut","030 L6 CT CTX Glut","24 MY Glut","261 HB Calcb Chol","10","L6 CT"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_G12","Cortical projection neurons 1_6","Cortical projection neurons 1_6_Brain",0.955953898534628,0.791413689338453,0.791413689338453,0.932626801503245,"Cortical projection neurons 1","Cortical projection neurons 1_6","Glutamatergic","L2/3 IT","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_017","017 CA3 Glut",1,"CS20230722_SUPT_0078","0078 CA3 Glut_4",1,"CS20230722_CLUS_0315","0315 CA3 Glut_4",421,1,"CS20230722_CLAS_24","24 MY Glut",0.95,"CS20230722_SUBC_261","261 HB Calcb Chol",0.91,"CS20230722_SUPT_1029","1029 HB Calcb Chol_5",0.9,"CS20230722_CLUS_4605","4605 HB Calcb Chol_5",8958,0.9,"01 IT-ET Glut","017 CA3 Glut","24 MY Glut","261 HB Calcb Chol","4","L2/3 IT"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_G13","Cortical projection neurons 1_8","Cortical projection neurons 1_8_Brain",1,1,1,0.962812184059507,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_016","016 CA1-ProS Glut",1,"CS20230722_SUPT_0069","0069 CA1-ProS Glut_1",1,"CS20230722_CLUS_0269","0269 CA1-ProS Glut_1",358,1,"CS20230722_CLAS_21","21 MB Dopa",0.77,"CS20230722_SUBC_215","215 SNc-VTA-RAmb Foxa1 Dopa",1,"CS20230722_SUPT_0881","0881 SNc-VTA-RAmb Foxa1 Dopa_2",0.63,"CS20230722_CLUS_3852","3852 SNc-VTA-RAmb Foxa1 Dopa_2",2413,0.63,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_G14","Cortical projection neurons 1_15","Cortical projection neurons 1_15_Brain",0.800280823465584,0.493053166116919,0.493053166116919,0.715521805068085,"Cortical projection neurons 1","Cortical projection neurons 1_21","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",0.55,"CS20230722_SUBC_019","019 L2/3 IT PPP Glut",0.97,"CS20230722_SUPT_0085","0085 L2/3 IT PPP Glut_2",0.54,"CS20230722_CLUS_0336","0336 L2/3 IT PPP Glut_2",313,0.54,"CS20230722_CLAS_23","23 P Glut",0.39,"CS20230722_SUBC_222","222 PB Evx2 Glut",0.87,"CS20230722_SUPT_0915","0915 PB Evx2 Glut_2",0.75,"CS20230722_CLUS_4029","4029 PB Evx2 Glut_2",2614,0.75,"01 IT-ET Glut","019 L2/3 IT PPP Glut","24 MY Glut","261 HB Calcb Chol","6","L5 ET"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_G15","Cortical projection neurons 1_16","Cortical projection neurons 1_16_Brain",0.908229863964763,0.36034545155639,0.36034545155639,0.950054848058965,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",0.98,"CS20230722_SUBC_023","023 SUB-ProS Glut",1,"CS20230722_SUPT_0097","0097 SUB-ProS Glut_2",1,"CS20230722_CLUS_0389","0389 SUB-ProS Glut_2",335,1,"CS20230722_CLAS_12","12 HY GABA",0.56,"CS20230722_SUBC_105","105 TMd-DMH Foxd2 Gaba",0.99,"CS20230722_SUPT_0481","0481 TMd-DMH Foxd2 Gaba_1",0.81,"CS20230722_CLUS_1864","1864 TMd-DMH Foxd2 Gaba_1",2022,0.81,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_G16","Cortical projection neurons 1_6","Cortical projection neurons 1_6_Brain",0.988623776801544,0.783297653360157,0.783297653360157,0.958630603880449,"Cortical projection neurons 1","Cortical projection neurons 1_6","Glutamatergic","L2/3 IT","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_017","017 CA3 Glut",1,"CS20230722_SUPT_0077","0077 CA3 Glut_3",0.67,"CS20230722_CLUS_0312","0312 CA3 Glut_3",423,0.67,"CS20230722_CLAS_12","12 HY GABA",1,"CS20230722_SUBC_105","105 TMd-DMH Foxd2 Gaba",0.38,"CS20230722_SUPT_0481","0481 TMd-DMH Foxd2 Gaba_1",0.87,"CS20230722_CLUS_1866","1866 TMd-DMH Foxd2 Gaba_1",2029,0.87,"01 IT-ET Glut","017 CA3 Glut","24 MY Glut","261 HB Calcb Chol","4","L2/3 IT"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_G17","Cortical projection neurons 1_18","Cortical projection neurons 1_18_Brain",0.959728208830809,0.574554814500293,0.574554814500293,0.959444321282872,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_016","016 CA1-ProS Glut",1,"CS20230722_SUPT_0074","0074 CA1-ProS Glut_6",1,"CS20230722_CLUS_0293","0293 CA1-ProS Glut_6",318,1,"CS20230722_CLAS_23","23 P Glut",0.26,"CS20230722_SUBC_222","222 PB Evx2 Glut",0.89,"CS20230722_SUPT_0921","0921 PB Evx2 Glut_8",1,"CS20230722_CLUS_4076","4076 PB Evx2 Glut_8",4284,1,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_G18","Cortical projection neurons 1_6","Cortical projection neurons 1_6_Brain",0.884589589378252,0.791291707108924,0.791291707108924,0.944187852664524,"Cortical projection neurons 1","Cortical projection neurons 1_6","Glutamatergic","L2/3 IT","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_017","017 CA3 Glut",1,"CS20230722_SUPT_0078","0078 CA3 Glut_4",1,"CS20230722_CLUS_0315","0315 CA3 Glut_4",421,1,"CS20230722_CLAS_22","22 MB-HB Sero",0.42,"CS20230722_SUBC_216","216 MB-MY Tph2 Glut-Sero",1,"CS20230722_SUPT_0889","0889 MB-MY Tph2 Glut-Sero_2",0.83,"CS20230722_CLUS_3888","3888 MB-MY Tph2 Glut-Sero_2",2840,0.83,"01 IT-ET Glut","017 CA3 Glut","24 MY Glut","261 HB Calcb Chol","4","L2/3 IT"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_G19","Cortical projection neurons 1_8","Cortical projection neurons 1_8_Brain",0.994104638101521,0.897431253813451,0.897431253813451,0.823310274433215,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_016","016 CA1-ProS Glut",1,"CS20230722_SUPT_0072","0072 CA1-ProS Glut_4",0.99,"CS20230722_CLUS_0286","0286 CA1-ProS Glut_4",354,0.99,"CS20230722_CLAS_24","24 MY Glut",0.69,"CS20230722_SUBC_238","238 NTS Phox2b Glut",0.9,"CS20230722_SUPT_0967","0967 NTS Phox2b Glut_9",0.7,"CS20230722_CLUS_4300","4300 NTS Phox2b Glut_9",3872,0.7,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_G20","Cortical projection neurons 1_6","Cortical projection neurons 1_6_Brain",0.863550254293194,0.740959367292716,0.740959367292716,0.850629995038807,"Cortical projection neurons 1","Cortical projection neurons 1_6","Glutamatergic","L2/3 IT","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_017","017 CA3 Glut",1,"CS20230722_SUPT_0078","0078 CA3 Glut_4",0.86,"CS20230722_CLUS_0314","0314 CA3 Glut_4",420,0.86,"CS20230722_CLAS_23","23 P Glut",0.87,"CS20230722_SUBC_222","222 PB Evx2 Glut",1,"CS20230722_SUPT_0916","0916 PB Evx2 Glut_3",0.44,"CS20230722_CLUS_4044","4044 PB Evx2 Glut_3",2638,0.44,"01 IT-ET Glut","017 CA3 Glut","24 MY Glut","261 HB Calcb Chol","4","L2/3 IT"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_G21","Astrocytes_7","Astrocytes_7_Brain",0.485281575037207,0.195164935483498,0.195164935483498,0.85061342615281,"Astrocytes","Astrocytes_14","Non-Neuronal","Astro","CS20230722_CLAS_30","30 Astro-Epen",1,"CS20230722_SUBC_319","319 Astro-TE NN",0.99,"CS20230722_SUPT_1162","1162 Astro-TE NN_2",0.98,"CS20230722_CLUS_5222","5222 Astro-TE NN_2",14920,0.98,"CS20230722_CLAS_27","27 MY GABA",0.7,"CS20230722_SUBC_300","300 PARN-MDRNd-NTS Gbx2 Gly-Gaba",0.46,"CS20230722_SUPT_1122","1122 PARN-MDRNd-NTS Gbx2 Gly-Gaba_3",0.52,"CS20230722_CLUS_5044","5044 PARN-MDRNd-NTS Gbx2 Gly-Gaba_3",4441,0.52,"30 Astro-Epen","319 Astro-TE NN","24 MY Glut","261 HB Calcb Chol","5","Astro"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_G22","Dentate gyrus neurons_8","Dentate gyrus neurons_8_Brain",0.912184039313267,0.912184039313267,0.912184039313267,0.962666818603672,"Dentate gyrus neurons","Dentate gyrus neurons_8","Glutamatergic","Meis2","CS20230722_CLAS_23","23 P Glut",0.94,"CS20230722_SUBC_220","220 PB Pax5 Glut",1,"CS20230722_SUPT_0905","0905 PB Pax5 Glut_2",1,"CS20230722_CLUS_3972","3972 PB Pax5 Glut_2",4289,1,"CS20230722_CLAS_08","08 CNU-MGE GABA",0.88,"CS20230722_SUBC_056","056 Sst Chodl Gaba",0.72,"CS20230722_SUPT_0240","0240 Sst Chodl Gaba_3",0.92,"CS20230722_CLUS_0857","0857 Sst Chodl Gaba_3",775,0.92,"04 DG-IMN Glut","038 DG-PIR Ex IMN","24 MY Glut","261 HB Calcb Chol","12","Meis2"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_G23","Oligodendrocyte progenitor cells_1","Oligodendrocyte progenitor cells_1_Brain",1,0.24659307181442,0.24659307181442,0.994313512484203,"Oligodendrocyte progenitor cells","Oligodendrocyte progenitor cells_9","Non-Neuronal","OPC","CS20230722_CLAS_31","31 OPC-Oligo",1,"CS20230722_SUBC_326","326 OPC NN",1,"CS20230722_SUPT_1179","1179 OPC NN_1",0.91,"CS20230722_CLUS_5270","5270 OPC NN_1",5207,0.91,"CS20230722_CLAS_11","11 CNU-HYa GABA",0.66,"CS20230722_SUBC_085","085 SI-MPO-LPO Lhx8 Gaba",0.63,"CS20230722_SUPT_0397","0397 SI-MPO-LPO Lhx8 Gaba_2",0.77,"CS20230722_CLUS_1438","1438 SI-MPO-LPO Lhx8 Gaba_2",813,0.77,"31 OPC-Oligo","326 OPC NN","24 MY Glut","261 HB Calcb Chol","15","OPC"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_G24","Ependymal cells_4","Ependymal cells_4_Brain",0.494861609150877,0.194868946851942,0.194868946851942,0.930514285463619,"Astrocytes","Astrocytes_14","Non-Neuronal","Astro","CS20230722_CLAS_30","30 Astro-Epen",0.99,"CS20230722_SUBC_319","319 Astro-TE NN",0.97,"CS20230722_SUPT_1163","1163 Astro-TE NN_3",0.98,"CS20230722_CLUS_5227","5227 Astro-TE NN_3",14947,0.98,"CS20230722_CLAS_24","24 MY Glut",0.88,"CS20230722_SUBC_261","261 HB Calcb Chol",0.99,"CS20230722_SUPT_1028","1028 HB Calcb Chol_4",0.54,"CS20230722_CLUS_4604","4604 HB Calcb Chol_4",8957,0.54,"30 Astro-Epen","319 Astro-TE NN","24 MY Glut","261 HB Calcb Chol","5","Astro"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_H1","Cortical projection neurons 1_13","Cortical projection neurons 1_13_Brain",0.965435312438811,0.671422996749532,0.671422996749532,0.962498771150043,"Cortical projection neurons 1","Cortical projection neurons 1_13","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_023","023 SUB-ProS Glut",1,"CS20230722_SUPT_0096","0096 SUB-ProS Glut_1",0.85,"CS20230722_CLUS_0387","0387 SUB-ProS Glut_1",372,0.85,"CS20230722_CLAS_24","24 MY Glut",0.83,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1029","1029 HB Calcb Chol_5",0.97,"CS20230722_CLUS_4605","4605 HB Calcb Chol_5",8958,0.97,"02 NP-CT-L6b Glut","023 SUB-ProS Glut","24 MY Glut","261 HB Calcb Chol","11","L5 ET"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_H2","Cortical projection neurons 1_13","Cortical projection neurons 1_13_Brain",0.774876007379671,0.354299450294613,0.354299450294613,0.903845124775717,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_016","016 CA1-ProS Glut",0.67,"CS20230722_SUPT_0071","0071 CA1-ProS Glut_3",1,"CS20230722_CLUS_0283","0283 CA1-ProS Glut_3",369,1,"CS20230722_CLAS_24","24 MY Glut",0.67,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1029","1029 HB Calcb Chol_5",0.86,"CS20230722_CLUS_4605","4605 HB Calcb Chol_5",8958,0.86,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_H3","Cortical projection neurons 1_8","Cortical projection neurons 1_8_Brain",0.645700788628766,0.639208390757203,0.639208390757203,0.770450464281201,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",0.88,"CS20230722_SUBC_009","009 L2/3 IT PIR-ENTl Glut",0.96,"CS20230722_SUPT_0045","0045 L2/3 IT PIR-ENTl Glut_7",0.64,"CS20230722_CLUS_0164","0164 L2/3 IT PIR-ENTl Glut_7",276,0.64,"CS20230722_CLAS_11","11 CNU-HYa GABA",0.39,"CS20230722_SUBC_085","085 SI-MPO-LPO Lhx8 Gaba",0.64,"CS20230722_SUPT_0398","0398 SI-MPO-LPO Lhx8 Gaba_3",0.64,"CS20230722_CLUS_1445","1445 SI-MPO-LPO Lhx8 Gaba_3",815,0.64,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_H4","Interbrain and midbrain neurons 2_23","Interbrain and midbrain neurons 2_23_Brain",0.529268157855542,0.173565530970568,0.173565530970568,0.938978485572046,"Cortical projection neurons 1","Cortical projection neurons 1_8","Glutamatergic","L5 ET","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_016","016 CA1-ProS Glut",1,"CS20230722_SUPT_0070","0070 CA1-ProS Glut_2",0.71,"CS20230722_CLUS_0273","0273 CA1-ProS Glut_2",352,0.71,"CS20230722_CLAS_24","24 MY Glut",0.68,"CS20230722_SUBC_261","261 HB Calcb Chol",1,"CS20230722_SUPT_1027","1027 HB Calcb Chol_3",0.56,"CS20230722_CLUS_4603","4603 HB Calcb Chol_3",8956,0.56,"01 IT-ET Glut","016 CA1-ProS Glut","24 MY Glut","261 HB Calcb Chol","1","L5 ET"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_H5","Interneurons 1_7","Interneurons 1_7_Brain",0.969206517287813,0.745722581260559,0.745722581260559,0.979256839714936,"Interneurons 1","Interneurons 1_3","GABAergic","Sst","CS20230722_CLAS_24","24 MY Glut",0.97,"CS20230722_SUBC_243","243 PGRN-PARN-MDRN Hoxb5 Glut",1,"CS20230722_SUPT_0974","0974 PGRN-PARN-MDRN Hoxb5 Glut_2",1,"CS20230722_CLUS_4347","4347 PGRN-PARN-MDRN Hoxb5 Glut_2",24414,1,"CS20230722_CLAS_24","24 MY Glut",0.66,"CS20230722_SUBC_261","261 HB Calcb Chol",0.96,"CS20230722_SUPT_1029","1029 HB Calcb Chol_5",0.83,"CS20230722_CLUS_4605","4605 HB Calcb Chol_5",8958,0.83,"07 CTX-MGE GABA","053 Sst Gaba","24 MY Glut","261 HB Calcb Chol","2","Sst"
"20230125-Yang-KO-Het-F-H1-P2-B12_S24_H6","Cortical projection neurons 1_6","Cortical projection neurons 1_6_Brain",0.990346877456836,0.567678773085884,0.567678773085884,0.97488791068203,"Cortical projection neurons 1","Cortical projection neurons 1_6","Glutamatergic","L2/3 IT","CS20230722_CLAS_01","01 IT-ET Glut",1,"CS20230722_SUBC_017","017 CA3 Glut",1,"CS20230722_SUPT_0077","0077 CA3 Glut_3",0.9,"CS20230722_CLUS_0307","0307 CA3 Glut_3",424,0.9,"CS20230722_CLAS_24","24 MY Glut",0.88,"CS20230722_SUBC_261","261 HB Calcb Chol",0.99,"CS20230722_SUPT_1027","1027 HB Calcb Chol_3",0.91,"CS20230722_CLUS_4603","4603 HB Calcb Chol_3",8956,0.91,"01 IT-ET Glut","017 CA3 Glut","24 MY Glut","261 HB Calcb Chol","4","L2/3 IT"
